Date,Spread,ZScore,LongEntry,ShortEntry,Exit,Signal
2022-01-31,1.5360084824278672,1.8467755916834525,False,False,False,
2022-02-01,1.440056540073627,1.590097118323364,False,False,False,
2022-02-02,1.503225154393235,1.759077788125434,False,False,False,
2022-02-03,1.5424799663269937,1.8640872850879453,False,False,False,
2022-02-04,1.5422663990430152,1.863515976961541,False,False,False,
2022-02-07,1.5360084824278672,1.8467755916834525,False,False,False,
2022-02-08,1.5661962712433777,1.9275301377318843,False,False,False,
2022-02-09,1.8847301094390616,2.779631484463866,False,True,False,-1.0
2022-02-10,1.8977200856815344,2.814380622304059,False,True,False,-1.0
2022-02-11,1.9256677389200192,2.889142641615431,False,True,False,-1.0
2022-02-14,1.929689131899046,2.89990016236292,False,True,False,-1.0
2022-02-15,2.0272487456420123,3.1608792744344107,False,True,False,-1.0
2022-02-16,2.0937203067711536,3.3386955688612616,False,True,False,-1.0
2022-02-17,2.248272785502479,3.752134768959133,False,True,False,-1.0
2022-02-18,1.8632569498195932,2.7221892097781257,False,True,False,-1.0
2022-02-21,1.8632569498195932,2.7221892097781257,False,True,False,-1.0
2022-02-22,1.6894834994067196,2.2573325026796853,False,True,False,-1.0
2022-02-23,1.629151115522653,2.0959389570194533,False,True,False,-1.0
2022-02-24,1.703768927652014,2.295547069506901,False,True,False,-1.0
2022-02-25,1.5918959507058617,1.9962786625498656,False,False,False,
2022-02-28,1.6190849676997203,2.0690112743440108,False,True,False,-1.0
2022-03-01,1.6849931664972075,2.245320533272782,False,True,False,-1.0
2022-03-02,1.749113034583381,2.4168458765706595,False,True,False,-1.0
2022-03-03,1.605009609313612,2.031358659775727,False,True,False,-1.0
2022-03-04,1.6172311170956135,2.064052088201191,False,True,False,-1.0
2022-03-07,1.618600153947547,2.0677143620489744,False,True,False,-1.0
2022-03-08,1.6776227119627831,2.2256040275778624,False,True,False,-1.0
2022-03-09,1.5224631906487789,1.810540944111258,False,False,False,
2022-03-10,1.31220149506089,1.2480755087545143,False,False,False,
2022-03-11,1.3038342428583718,1.2256924962915436,False,False,False,
2022-03-14,1.210640000889356,0.9763910734371204,False,False,False,
2022-03-15,1.2925632890943817,1.195541869483255,False,False,False,
2022-03-16,1.3408953920962574,1.324833784877772,False,False,False,
2022-03-17,1.339256601968266,1.320449901259685,False,False,False,
2022-03-18,1.2710750472210393,1.1380592486637702,False,False,False,
2022-03-21,1.392689415495738,1.4633865908884562,False,False,False,
2022-03-22,1.4110082287150547,1.5123907579280722,False,False,False,
2022-03-23,1.4768317810931535,1.688473581485438,False,False,False,
