#{"t_start": 1747166143.7181695, "env_id": "None"}
r,l,t
196.454467,781,633.630707
150.069486,423,637.19842
197.460635,782,639.519082
148.106561,385,641.090955
70.384095,136,641.666913
175.817859,586,643.510338
183.04349,566,647.688571
193.873175,787,650.940645
91.116864,191,651.76905
99.850388,217,652.573655
82.912521,153,653.024288
134.190982,352,656.306931
126.523539,308,657.646255
160.426037,450,659.18597
140.752114,373,660.173183
33.621549,46,660.297334
199.884834,753,665.215854
181.798013,534,667.218862
61.261397,116,667.598401
70.691237,135,667.924695
61.981479,110,668.19605
113.240457,288,669.131503
164.311628,451,670.496264
210.678119,784,675.315177
114.020528,252,676.207293
208.986128,789,678.911206
203.816237,757,683.275157
1.855424,3,683.289366
177.163745,505,685.050808
144.996786,387,686.500826
2.22065,4,686.524372
103.011422,222,687.253228
74.737975,140,687.726948
134.867363,340,688.568199
200.789567,772,697.238659
194.181692,624,699.074289
130.010667,306,700.081367
97.945125,213,700.843254
103.224764,224,701.483894
202.848087,702,705.430956
121.395792,257,706.232374
45.540806,86,706.426372
65.947234,127,706.766561
191.037017,630,708.802454
99.306827,200,709.388264
68.832891,144,709.864527
189.443555,638,713.420672
85.170994,174,714.048408
186.392949,563,715.733984
196.482778,653,717.811277
213.834237,765,721.852391
197.824841,667,723.793385
191.275008,628,725.944805
200.453527,696,731.034844
199.441014,616,733.518964
138.869665,362,734.491423
170.690032,445,737.82394
42.381732,63,737.932769
177.570509,522,739.543639
145.347506,346,740.563965
211.887481,788,742.783818
162.375806,426,746.177918
153.374403,419,748.120802
203.54787,695,750.497067
202.900996,622,752.525203
170.482598,446,754.937644
192.362,623,756.040071
200.970663,694,757.004717
202.169328,743,759.540103
87.407948,176,759.783762
219.807281,735,760.904779
210.740133,790,762.514539
60.531184,119,764.669836
207.913241,797,767.110571
166.686923,421,768.637733
172.942122,477,770.076746
216.323973,774,778.144492
174.80357,463,779.599601
99.984342,193,780.088531
185.595908,517,782.584981
121.828949,266,784.025971
93.397612,188,786.953392
140.798503,365,787.879807
162.136841,424,789.185929
144.727506,389,790.618929
132.939573,327,791.9551
90.305445,180,792.812914
84.157497,166,793.227134
202.961775,574,796.85906
179.377015,459,798.105672
205.260485,686,800.16306
65.982374,125,800.472754
114.942687,254,801.172241
207.030545,659,805.886618
50.526626,77,806.150932
167.534528,415,807.296818
211.889423,646,808.568425
197.029491,580,810.782581
133.857156,303,811.247869
196.280764,588,812.128923
64.642482,115,812.311378
50.578054,71,812.404669
168.934899,448,813.048701
175.938058,459,815.227224
194.743024,602,816.152555
194.186275,601,816.897151
136.4413,307,817.290355
194.801738,543,819.329585
185.639611,499,820.182619
154.654636,381,820.833792
212.069789,620,822.048523
221.781613,774,825.042408
222.282482,728,826.712512
220.768393,763,828.33932
21.7723,27,828.442477
218.857947,707,831.081026
149.776346,360,831.684736
156.269557,381,832.293932
218.887266,710,833.264453
77.801515,134,835.051168
36.444909,55,835.131285
106.627362,220,835.477108
191.995149,509,836.149618
105.117793,194,836.428801
182.434738,501,840.049083
50.504371,84,840.250502
139.617206,304,840.97646
